,original_sentences,adversarial_sentences
116,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa","If you'd like to cancel, you may now claim your FREE PHONE upgrade. To cancel your account, Call now on 0207 153 782. Offer ends 14thMarch. T&C's apply. Opt-out."
117,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16","Last Chance! Claim ur £150 worth of tickets to the game today! Text SHOP to 85023 now! The game will be played on T-Mobile from SavaMob POBOX84, M263UZ. £3.00 until April 16"
118,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,FREE for 1st week! If u want to tone 4 ur mobile every week just txt me to 8077-7000 for txting and tell ur friends. POBox 36504 W45WQ. $150p/tone
119,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,if you have won a guaranteed £200 award or even £1000 cashto claim the award call free on 08000407165 or call the award office on 88222-4200 4JX
120,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,Enter to win £500 of CD gift vouchers & Free entry 2 our £100 weekly subscription to txt MUSIC to 87066.
121,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT","U were outbid by simonwatson5120 on the DVD Plyr. 2 bid again, visit Plyr 2 to bid and reply OUT"
122,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE","To sign up for our newsletter, pls goto www.comuk.net login= 3qxj9 unsubscribe at STOP, no extra charge. help us out! 9AE"
123,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,25p 4 alfie Moon's children are in need of help from ur mob. Tell ur m8s. Txt charity to 8007 for help or call charity for help. zed 08701417012 profit to charity.
124,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,U have a secret admirer. REVEALER thinks U R So. Call him. To opt out. REVALER: 1.50 per msg recd. 07821230901
125,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062","Dear Voucher: To claim this offer, before you PC please go to Ts&Cs. To unsubscribe, please txt STOP to 80062"
126,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,Do you want to make any enquiries? For a text and a phone for only five pounds per week call 08002888812 or reply for free tomorrow
127,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,"We tried to contact you re our offer of New Year’s resolution 750,000,000 HALF PRICE Rental camcorder call 08000930705 or pick it up for delivery Wed"
128,Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP,Last chance 2 claim ur £150 worth of discount. YES to 85023. T T Cs 08717898035. £3.00 per month. Remove txt from your account or STOP
129,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+","For more information call 09066350750 from your hotel. Your complimentary 4* Ibiza Holiday or 10,000 Ibiza Days await. T&Cs PO BOX 434 SK3 8WP"
130,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",Great Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! 08717898035. £3.00 Sub. £1.00... reply X
131,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,How do you meet someone? Make new friends or fall in love in the worlds most beautiful places? Just text me to 83110 and see who you could meet.
132,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins,To purchase either a yrs supply of CD's from Virgin Records or a Mystery Gift Certificate Call 09061104283. Time: £1.50pm approx 3mins
133,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,PRIVATE! Your 2003 Registration Statement for 0780801 shows that you are a registered agent of I. M. Smith. Call 08719899217 Identifier Code: 41685 Date: 07/11/04
134,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,“ We need some posh guys and chaps. I’ve got some prods for you. Can i put you down? I need your address and dob asap.” r
135,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do you want for Xmas? How about 100 free text messages or a new gift card with half price shipping? Call free on 0800 0721072 to find out more!
136,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary","Shop online NOW WHAT IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, or call the NTT PO Box on the fixedline, 150ppm. Prices vary"
137,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,The Quiz: Win a top Sony Xperia XZ Premium player if u know which team Liverpool played in mid week? Txtled to 82277. £1.50.
138,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,U have a great admirer who is helping 2 make contact with U-find out who they are and what they are doing so call on 09058094565
139,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,U have a friend who is looking 2 make contact with U-find out who they are and who is doing so on
140,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,Reminder: You have not done the work you have already paid for. Goto: tv/ to your credit
141,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","Your e-mail address is waiting to be sent. Simply text the password ""MIX"" to 85069 to send it to Usher's Office, PO Box 5249, MK17 92H. 450Ppw 16"
142,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468","all the way from The Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Get your tickets now with Flirt!!For more information, visit WAP Bookmark or text WAP to 82468"
143,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)","January Male National rate from 1.5p/min cheap to now cheaper, call 08712460324 (10p) January Male national rate from 0.5pa/min Cheap to 7.8p/Min To stop the rate rise call 0 8712460 324 (10 p/min)"
144,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy,1) you r a lucky winner! 2) your name is in the money! 88600 over £1million to give away! 3) text rate is w1t1jy
145,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.","For more information, please call 09063440451 from a landline, a complimentary 4*Lux Tenerife SIM card or £1000 CASH await you at the SAE Box334 SK38XH."
146,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+","For more information, call 09061749602 from the office. Your complimentary 4* Tenerife T&Cs or £10,000 T&C will await you.Tenerife 528 HP20 1YF 150ppm 18+"
147,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),How about getting in touch with us? Just txt back your NAME and AGE to opt out of the service (150p/SMS)
148,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,"Ur account is currently 500 EUR - to pay ur cash-in fee, please GO to ur account only. CC: 08718720201 PO BOX 114/14 TCR/W1"
149,Filthy stories and GIRLS waiting for your,advertisement
150,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,URGENT! We are trying to get you to U. Todays Bank so that you have won a £800 cheque. Call 09050001808 from land line. The M95. Call only
151,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.","Android 2 mobile 3G and RTE, call 09063458130 now! videochat wid your mates, play java games, listen to music, etc."
152,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,You can also contact a customer service representative on 0808 145 4742 between 9am-11pm as you have a guaranteed £1000 cash or £5000 credit card.
153,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,Panasonic & Sony FREE. Nokia FREE. Motorola FREE & Sony & DoubleTxt FREE. Call us on 08000839402 or call us on
154,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,FREE for 1st week! No1 tone 16+ if ur not texting every week just txt me to 8007 for free txting and tell ur mates. Phone: 36504 W45WQ150p/tone 16+
155,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,Guess what! Now you know who is after you! Wanna find out who it is? Give us a call on 09065394514.TODAY'S TOP STORIESMay 18
156,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",Do you know someone who you know that needs help? Call 09058097218 to find out.2018 LS15HB
157,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!","Hi, I'm Txt GIRL ZOE BLOKE & ur NAME & AGE, TEX GIR L ZOE. Please text me to 8007 to join and get started."
158,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,18 days to go. U will be kept informed of all the latest news and updates.To send a EURO message to 83222.
159,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,"What do you think? What does DOT compare you to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100,000"
160,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,We have new jobs in your area - Lots of new people in YOUR area Reply DATE to start now! You can only sign up here
161,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,Someone you know has been using this service 2 contact you! Guess who? CALL 09058091854 NOW all will be sent to PO Box M6 6WU
162,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,URGENT! We are trying to get you to U. Todays doorstep to confirm that you have won a £800 prize. Call 09050003091 from land line. It is for cash only
163,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,You have been warned. This is my final attempt to help u! Txt CHAT to 86688
164,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,"If you want to order a SiPix Digital Camera, call 09061221061 from landline. Delivery within 28days. P P Cs Box177. M221BP. 2yr warranty. 150ppm. £2.99 p p£3.99"
165,WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm,THIS IS URGENT! Your mobile number has been awarded with a £2000 prize. Please call 09061790121 from landline +44 (0)20 12hrs only 150ppm
